"統計名：","人口推計 各月1日現在人口 確定値"
"表番号：","003"
"表題：","[確定値] 年齢（５歳階級），男女，月別人口－総人口，日本人人口 ，外国人人口 （各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","","","","","","","/男女別 コード","000","001","002"
"表章項目 コード","表章項目","確定値 コード","確定値","全国 コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在）","人口 コード","人口","年齢5歳階級 コード","年齢5歳階級","/男女別","男女計","男","女"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01014","65～69歳","","8,162","3,964","4,198"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01015","70～74歳","","9,294","4,387","4,907"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01016","75～79歳","","6,995","3,114","3,881"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01017","80～84歳","","5,410","2,236","3,174"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01018","85～89歳","","3,776","1,340","2,435"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01019","90～94歳","","1,829","507","1,323"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01020","95～99歳","","508","96","412"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01021","100歳以上","","82","10","72"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","02000","（再掲）15歳未満","","15,000","7,684","7,316"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01023","（再掲）15～64歳","","75,034","37,981","37,053"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01024","（再掲）65歳以上","","36,054","15,653","20,402"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01026","（再掲）うち75歳以上","","18,599","7,302","11,296"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01027","（再掲）うち85歳以上","","6,194","1,953","4,241"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01000","総数","","123,304","59,952","63,352"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01001","0～4歳","","4,434","2,269","2,165"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01002","5～9歳","","5,022","2,572","2,450"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01003","10～14歳","","5,319","2,727","2,592"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01004","15～19歳","","5,595","2,870","2,724"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01005","20～24歳","","5,925","3,021","2,904"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01006","25～29歳","","5,945","3,034","2,911"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01007","30～34歳","","6,332","3,228","3,103"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01008","35～39歳","","7,209","3,666","3,543"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01009","40～44歳","","8,216","4,181","4,036"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01010","45～49歳","","9,673","4,912","4,761"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01011","50～54歳","","8,568","4,328","4,239"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01012","55～59歳","","7,862","3,940","3,922"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01013","60～64歳","","7,338","3,632","3,706"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01014","65～69歳","","8,095","3,934","4,161"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01015","70～74歳","","9,245","4,363","4,881"
